epoka 169/1000   błąd=0.111370 
epoka 170/1000   błąd=0.111370 
epoka 171/1000   błąd=0.111370 
epoka 172/1000   błąd=0.111370 
epoka 173/1000   błąd=0.111370 
epoka 174/1000   błąd=0.111370 
epoka 175/1000   błąd=0.111370 
epoka 176/1000   błąd=0.111370 
epoka 177/1000   błąd=0.111370 
epoka 178/1000   błąd=0.111370 
epoka 179/1000   błąd=0.111369 
epoka 180/1000   błąd=0.111369 
epoka 181/1000   błąd=0.111369 
epoka 182/1000   błąd=0.111369 
epoka 183/1000   błąd=0.111369 
epoka 184/1000   błąd=0.111369 
epoka 185/1000   błąd=0.111369 
epoka 186/1000   błąd=0.111369 
epoka 187/1000   błąd=0.111369 
epoka 188/1000   błąd=0.111369 
epoka 189/1000   błąd=0.111369 
epoka 190/1000   błąd=0.111369 
epoka 191/1000   błąd=0.111369 
epoka 192/1000   błąd=0.111369 
epoka 193/1000   błąd=0.111368 
epoka 194/1000   błąd=0.111368 
epoka 195/1000   błąd=0.111368 
epoka 196/1000   błąd=0.111368 
epoka 197/1000   błąd=0.111368 
epoka 198/1000   błąd=0.111368 
epoka 199/1000   błąd=0.111368 
epoka 200/1000   błąd=0.111368 
epoka 201/1000   błąd=0.111368 
epoka 202/1000   błąd=0.111368 
epoka 203/1000   błąd=0.111368 
epoka 204/1000   błąd=0.111367 
epoka 205/1000   błąd=0.111367 
epoka 206/1000   błąd=0.111367 
epoka 207/1000   błąd=0.111367 
epoka 208/1000   błąd=0.111367 
epoka 209/1000   błąd=0.111367 
epoka 210/1000   błąd=0.111367 
epoka 211/1000   błąd=0.111367 
epoka 212/1000   błąd=0.111367 
epoka 213/1000   błąd=0.111367 
epoka 214/1000   błąd=0.111366 
epoka 215/1000   błąd=0.111366 
epoka 216/1000   błąd=0.111366 
epoka 217/1000   błąd=0.111366 
epoka 218/1000   błąd=0.111366 
epoka 219/1000   błąd=0.111366 
epoka 220/1000   błąd=0.111366 
epoka 221/1000   błąd=0.111366 
epoka 222/1000   błąd=0.111366 
epoka 223/1000   błąd=0.111365 
epoka 224/1000   błąd=0.111365 
epoka 225/1000   błąd=0.111365 
epoka 226/1000   błąd=0.111365 
epoka 227/1000   błąd=0.111365 
epoka 228/1000   błąd=0.111365 
epoka 229/1000   błąd=0.111365 
epoka 230/1000   błąd=0.111365 
epoka 231/1000   błąd=0.111364 
epoka 232/1000   błąd=0.111364 
epoka 233/1000   błąd=0.111364 
epoka 234/1000   błąd=0.111364 
epoka 235/1000   błąd=0.111364 
